"iso3c","nutrient","total_supply_all","total_supply_OA_all","relative_supply_all","supply_diff_all"
"JPN","Vitamin B12",17167.6200075198,14948.7760169683,1.14842981044287,2218.84399055154
"JPN","Zinc",5622.60702300979,4895.90828440924,1.14842981044287,726.698738600548
"KEN","Calcium",3454991.3974052,3187312.04522167,1.08398278812544,267679.352183522
"KEN","DHA+EPA",7040.46874906181,6495.00049833546,1.08398278812544,545.468250726349
"KEN","Iron",32656.050452885,30125.9861416784,1.08398278812544,2530.06431120659
"KEN","Vitamin A",1509090.83948091,1392172.32599295,1.08398278812544,116918.51348797
"KEN","Vitamin B12",41366.7890958664,38161.850491559,1.08398278812544,3204.9386043074
"KEN","Zinc",7611.79445250819,7022.06209904076,1.08398278812544,589.732353467439
"KHM","Calcium",109725.690040242,102141.716413003,1.07424952207161,7583.97362723942
"KHM","DHA+EPA",719.279181101855,669.564348248234,1.07424952207161,49.7148328536209
"KHM","Iron",948.365214335599,882.816510364135,1.07424952207161,65.5487039714642
"KHM","Vitamin A",115287.983074723,107319.557240667,1.07424952207161,7968.4258340564
"KHM","Vitamin B12",4257.01439341951,3962.77988116781,1.07424952207161,294.234512251704
"KHM","Zinc",1032.55111295029,961.183683804753,1.07424952207161,71.3674291455332
"KIR","Calcium",4552299.35748582,4333038.05735986,1.05060220963292,219261.300125962
"KIR","DHA+EPA",2963.43889846016,2820.70499308732,1.05060220963292,142.733905372841
"KIR","Iron",31191.3522435873,29689.0221223554,1.05060220963292,1502.33012123196
"KIR","Vitamin A",630446.612835615,600081.179208532,1.05060220963292,30365.4336270826
"KIR","Vitamin B12",21464.812832114,20430.9610576716,1.05060220963292,1033.85177444241
"KIR","Zinc",2958.36333267331,2815.87389170536,1.05060220963292,142.489440967953
"KNA","Calcium",3138.20795171396,2958.98111051308,1.06057045804182,179.226841200879
"KNA","DHA+EPA",17.1033939709567,16.1265985124038,1.06057045804182,0.976795458552886
"KNA","Iron",36.2011883809315,34.1336948492525,1.06057045804182,2.06749353167903
"KNA","Vitamin A",1740.88104288289,1641.45722679958,1.06057045804182,99.4238160833111
"KNA","Vitamin B12",43.5981272818066,41.1081856478481,1.06057045804182,2.48994163395846
"KNA","Zinc",11.2018600635164,10.562108324419,1.06057045804182,0.639751739097409
"KOR","Calcium",NA,NA,NA,NA
"KOR","DHA+EPA",NA,NA,NA,NA
"KOR","Iron",NA,NA,NA,NA
"KOR","Vitamin A",NA,NA,NA,NA
"KOR","Vitamin B12",NA,NA,NA,NA
"KOR","Zinc",NA,NA,NA,NA
"KWT","Calcium",263964.258045186,247426.601867068,1.06683863438016,16537.6561781185
"KWT","DHA+EPA",334.871298344486,313.89123673708,1.06683863438016,20.980061607406
"KWT","Iron",4258.9294361113,3992.10274062278,1.06683863438016,266.826695488521
"KWT","Vitamin A",26329.6030519693,24680.0239543883,1.06683863438016,1649.57909758096
"KWT","Vitamin B12",2605.35353052432,2442.12521609516,1.06683863438016,163.228314429155
"KWT","Zinc",611.67310948439,573.351104630529,1.06683863438016,38.3220048538609
"LBN","Calcium",NA,NA,NA,NA
"LBN","DHA+EPA",NA,NA,NA,NA
"LBN","Iron",NA,NA,NA,NA
"LBN","Vitamin A",NA,NA,NA,NA
"LBN","Vitamin B12",NA,NA,NA,NA
"LBN","Zinc",NA,NA,NA,NA
"LBR","Calcium",NA,NA,NA,NA
"LBR","DHA+EPA",NA,NA,NA,NA
"LBR","Iron",NA,NA,NA,NA
"LBR","Vitamin A",NA,NA,NA,NA
"LBR","Vitamin B12",NA,NA,NA,NA
"LBR","Zinc",NA,NA,NA,NA
"LBY","Calcium",NA,NA,NA,NA
"LBY","DHA+EPA",NA,NA,NA,NA
"LBY","Iron",NA,NA,NA,NA
"LBY","Vitamin A",NA,NA,NA,NA
"LBY","Vitamin B12",NA,NA,NA,NA
"LBY","Zinc",NA,NA,NA,NA
"LCA","Calcium",96363.9778848066,91691.155484366,1.05096262966429,4672.82240044061
"LCA","DHA+EPA",239.3610692258,227.754120336571,1.05096262966429,11.6069488892289
"LCA","Iron",733.562198101339,697.990753806023,1.05096262966429,35.5714442953154
"LCA","Vitamin A",43682.8963554161,41564.6523695802,1.05096262966429,2118.24398583589
"LCA","Vitamin B12",812.027773915988,772.651425460651,1.05096262966429,39.3763484553373
"LCA","Zinc",186.369433328715,177.332122064366,1.05096262966429,9.03731126434903
"LKA","Calcium",476896.58546022,422279.852005006,1.12933776782361,54616.7334552137
"LKA","DHA+EPA",2178.11875250676,1928.66900812526,1.12933776782361,249.449744381505
"LKA","Iron",6395.89493942726,5663.40303287032,1.12933776782361,732.491906556936
"LKA","Vitamin A",98444.6489981478,87170.2441935187,1.12933776782361,11274.4048046291
"LKA","Vitamin B12",12385.0826438605,10966.6771064676,1.12933776782361,1418.40553739286
"LKA","Zinc",1224.35678523606,1084.13693415705,1.12933776782361,140.21985107901
"LTU","Calcium",NA,NA,NA,NA
"LTU","DHA+EPA",NA,NA,NA,NA
